Loading xml library ...
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.TaskDescriptorImpl@1245ddf (name: Create The Review Checklist) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1507af2 (name: descriptor_localUsingInfo) (value: _Nl3d0Iu6EemyBLjcQ79CyA/mandatoryInput/_8eEA4K-_EemRF4v6c146Vw/mandatoryInput/_rZASgK_BEemRF4v6c146Vw/mandatoryInput/_TNg4cAEOEeqtkpd0VPuC_g/output/_Nl22wIu6EemyBLjcQ79CyA/performedPrimarilyBy/_ytPGYK_HEemRF4v6c146Vw/assistedBy)], briefDescription: , id: _BL3Q4AEOEeqtkpd0VPuC_g, orderingGuide: , presentationName: Create The Review Checklist, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (group2: null, isEventDriven: false, isOngoing: false, isRepeatable: false) (task: null, group3: [uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw, uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA, uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw, uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw, uma:output=_TNg4cAEOEeqtkpd0VPuC_g, uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA], isSynchronizedWithSource: false)
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.WorkProductDescriptorImpl@1f7bca9 (name: quality_review_checklist) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1fdd773 (name: descriptor_createdByReference) (value: true), uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@feadb6 (name: me_references) (value: <?xml version="1.0" encoding="UTF-8" standalone="no"?><me_references udtList=""/>)], briefDescription: , id: _TNg4cAEOEeqtkpd0VPuC_g, orderingGuide: , presentationName: Quality Review Checklist, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (isSynchronizedWithSource: true) (workProduct: _nn8cYLhsEemp1JY05E_Q9A, responsibleRole: null, group2: null, activityEntryState: , activityExitState: )
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.TaskDescriptorImpl@f1cc31 (name: Create The Phase-exit Review Checklist) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@4f37f2 (name: descriptor_localUsingInfo) (value: _Nl22wIu6EemyBLjcQ79CyA/performedPrimarilyBy/_ytPGYK_HEemRF4v6c146Vw/assistedBy/_Nl3d0Iu6EemyBLjcQ79CyA/mandatoryInput/_8eEA4K-_EemRF4v6c146Vw/mandatoryInput/_rZASgK_BEemRF4v6c146Vw/mandatoryInput/_4iCpcAEPEeqtkpd0VPuC_g/output)], briefDescription: , id: _-C6GcAEOEeqtkpd0VPuC_g, orderingGuide: , presentationName: Create The Phase-exit Review Checklist, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (group2: null, isEventDriven: false, isOngoing: false, isRepeatable: false) (task: null, group3: [uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw, uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA, uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw, uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw, uma:output=_4iCpcAEPEeqtkpd0VPuC_g, uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA], isSynchronizedWithSource: false)
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.WorkProductDescriptorImpl@14a36c7 (name: phase-exit_review_checklist) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@48b805 (name: descriptor_createdByReference) (value: true), uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@ba7e39 (name: me_references) (value: <?xml version="1.0" encoding="UTF-8" standalone="no"?><me_references udtList=""/>)], briefDescription: , id: _4iCpcAEPEeqtkpd0VPuC_g, orderingGuide: , presentationName: Phase-exit Review Checklist, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (isSynchronizedWithSource: true) (workProduct: _7J6bwK-bEemIheUjWGTFzQ, responsibleRole: null, group2: null, activityEntryState: , activityExitState: )
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.TaskDescriptorImpl@173377b (name: Create The Communications Management Plan) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1dddc9c (name: descriptor_localUsingInfo) (value: _Nl3d0Iu6EemyBLjcQ79CyA/mandatoryInput/_8eEA4K-_EemRF4v6c146Vw/mandatoryInput/_Nl3d0ou6EemyBLjcQ79CyA/mandatoryInput/_rZASgK_BEemRF4v6c146Vw/mandatoryInput/_mBZt4AEREeqtkpd0VPuC_g/output/_Nl22wIu6EemyBLjcQ79CyA/performedPrimarilyBy/_Nl22wou6EemyBLjcQ79CyA/additionallyPerformedBy/_N_xMgLhlEemp1JY05E_Q9A/assistedBy)], briefDescription: , id: _QHDWcAEREeqtkpd0VPuC_g, orderingGuide: , presentationName: Create The Communications Management Plan, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (group2: null, isEventDriven: false, isOngoing: false, isRepeatable: false) (task: null, group3: [uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA, uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A, uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA, uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw, uma:mandatoryInput=_Nl3d0ou6EemyBLjcQ79CyA, uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw, uma:output=_mBZt4AEREeqtkpd0VPuC_g, uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA], isSynchronizedWithSource: false)
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.WorkProductDescriptorImpl@82d772 (name: communications_management_plan) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1ea236d (name: descriptor_createdByReference) (value: true), uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1720904 (name: me_references) (value: <?xml version="1.0" encoding="UTF-8" standalone="no"?><me_references udtList=""/>)], briefDescription: , id: _mBZt4AEREeqtkpd0VPuC_g, orderingGuide: , presentationName: Communications Management Plan, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (isSynchronizedWithSource: true) (workProduct: _vNTp4K5pEemACMgn_a_4IA, responsibleRole: null, group2: null, activityEntryState: , activityExitState: )
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.TaskDescriptorImpl@3e0b4a (name: Create The Deliverables Acceptance Plan) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@5d7c38 (name: descriptor_localUsingInfo) (value: _Nl3d0Iu6EemyBLjcQ79CyA/mandatoryInput/_8eEA4K-_EemRF4v6c146Vw/mandatoryInput/_rZASgK_BEemRF4v6c146Vw/mandatoryInput/_s9kpUK_REemRF4v6c146Vw/mandatoryInput/_pofKELhnEemp1JY05E_Q9A/mandatoryInput/_pGo9sAPIEeqjbeHa5XlctQ/output/_Nl22wIu6EemyBLjcQ79CyA/performedPrimarilyBy/_Nl22wou6EemyBLjcQ79CyA/additionallyPerformedBy/_ytPGYK_HEemRF4v6c146Vw/assistedBy)], briefDescription: , id: _B4yeIAPIEeqjbeHa5XlctQ, orderingGuide: , presentationName: Create The Deliverables Acceptance Plan, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: true, prefix: ) (group2: null, isEventDriven: false, isOngoing: false, isRepeatable: false) (task: null, group3: [uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA, uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw, uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA, uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw, uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw, uma:mandatoryInput=_s9kpUK_REemRF4v6c146Vw, uma:mandatoryInput=_pofKELhnEemp1JY05E_Q9A, uma:output=_pGo9sAPIEeqjbeHa5XlctQ, uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA], isSynchronizedWithSource: false)
Element not handled: uma:breakdownElement=org.eclipse.epf.xml.uma.impl.WorkProductDescriptorImpl@92c415 (name: deliverables_acceptance_plan) (group: [uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@107d2ea (name: descriptor_createdByReference) (value: true), uma:methodElementProperty=org.eclipse.epf.xml.uma.impl.MethodElementPropertyImpl@1d9fddb (name: me_references) (value: <?xml version="1.0" encoding="UTF-8" standalone="no"?><me_references udtList=""/>)], briefDescription: Quality management artefact defining and documenting deliverables acceptance approach, activities, responsibilities and acceptance criteria along with acceptance tolerance levels., id: _pGo9sAPIEeqjbeHa5XlctQ, orderingGuide: , presentationName: Deliverables Acceptance Plan, suppressed: false) (fulfill: null, isAbstract: false, nodeicon: null, shapeicon: null) (presentedAfter: null, presentedBefore: null, planningData: null, superActivity: _-1kL4YuxEemyBLjcQ79CyA, group1: null, hasMultipleOccurrences: false, isOptional: false, isPlanned: false, prefix: ) (isSynchronizedWithSource: true) (workProduct: _JFmX4IsbEemPd45ge65XKw, responsibleRole: null, group2: null, activityEntryState: , activityExitState: )
 === processing element TaskDescriptor: Organize The Planning Kick-Off Meeting
 === processing element DescriptorDescription: Organize The Planning Kick-Off Meeting,_Z4siwLfrEem7QckxbB4RWQ
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:output=_FGaWwK_AEemRF4v6c146Vw
Element not handled: uma:output=_CG8U8K_AEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: create_project_stakeholder_matrix
 === processing element DescriptorDescription: create_project_stakeholder_matrix,_Nl2PsIu6EemyBLjcQ79CyA
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_CG8U8K_AEemRF4v6c146Vw
Element not handled: uma:output=_Nl3d0ou6EemyBLjcQ79CyA
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: create_the_project_handbook
 === processing element DescriptorDescription: create_the_project_handbook,_jLT8QIu6EemyBLjcQ79CyA
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_CG8U8K_AEemRF4v6c146Vw
Element not handled: uma:output=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element RoleDescriptor: project_manager_pm
 === processing element DescriptorDescription: project_manager_pm,_Nl22wIu6EemyBLjcQ79CyA
 === processing element RoleDescriptor: business_manager_bm
 === processing element DescriptorDescription: business_manager_bm,_Nl22wou6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: business_case
 === processing element WorkProductDescriptor: project_charter
 === processing element WorkProductDescriptor: project_stakeholder_matrix
 === processing element TaskDescriptor: create_the_project_work_plan
 === processing element DescriptorDescription: create_the_project_work_plan,_jLT8QYu6EemyBLjcQ79CyA
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:output=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: create_the_outsourcing_plan
 === processing element DescriptorDescription: create_the_outsourcing_plan,_UMInMou6EemyBLjcQ79CyA
Element not handled: uma:additionallyPerformedBy=_6tw2AK_BEemRF4v6c146Vw
Element not handled: uma:assistedBy=_MgPDUPemEemd3evQ6PB-WA
Element not handled: uma:mandatoryInput=_krCV8K_SEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_-GMxcK_BEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: create_the_transition_plan
 === processing element DescriptorDescription: create_the_transition_plan,_jLT8Qou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_vI-qkK_JEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_TYqZwK_TEemRF4v6c146Vw
Element not handled: uma:output=_6LZEkK_IEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: create_the_business_implementation_plan
 === processing element DescriptorDescription: create_the_business_implementation_plan,_UMInMIu6EemyBLjcQ79CyA
Element not handled: uma:additionallyPerformedBy=_Nl22wIu6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_s9kpUK_REemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_6LZEkK_IEemRF4v6c146Vw
Element not handled: uma:output=_vI-qkK_JEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wou6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: project_handbook
 === processing element DescriptorDescription: project_handbook,_8eEA4K-_EemRF4v6c146Vw
 === processing element WorkProductDescriptor: minutes_of_planning_kick-off_meeting
 === processing element WorkProductDescriptor: agenda_of_planning_kick-off_meeting
 === processing element WorkProductDescriptor: project_work_plan
 === processing element RoleDescriptor: solution_provider_sp
 === processing element WorkProductDescriptor: outsourcing_plan
 === processing element TaskDescriptor: Create The Transition Checklist
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_s9kpUK_REemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_vI-qkK_JEemRF4v6c146Vw
Element not handled: uma:output=_McfFUPhiEempbtyQcmw4Ww
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: Create The Implementation Checklist
Element not handled: uma:assistedBy=_Nl22wIu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_s9kpUK_REemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_6LZEkK_IEemRF4v6c146Vw
Element not handled: uma:output=_hTkB4PhiEempbtyQcmw4Ww
Element not handled: uma:performedPrimarilyBy=_Nl22wou6EemyBLjcQ79CyA
 === processing element RoleDescriptor: project_steering_committee_psc
 === processing element DescriptorDescription: project_steering_committee_psc,_ytPGYK_HEemRF4v6c146Vw
 === processing element WorkProductDescriptor: transition_plan
 === processing element WorkProductDescriptor: business_implementation_plan
 === processing element WorkProductDescriptor: quality_management_plan
 === processing element WorkProductDescriptor: organizational_procurement_procedures
 === processing element WorkProductDescriptor: project_change_management_plan
 === processing element RoleDescriptor: project_owner_po
 === processing element DescriptorDescription: project_owner_po,_N_xMgLhlEemp1JY05E_Q9A
 === processing element WorkProductDescriptor: requirements_management_plan
 === processing element RoleDescriptor: appropriate_governance_body_agb
 === processing element DescriptorDescription: appropriate_governance_body_agb,_MgPDUPemEemd3evQ6PB-WA
 === processing element WorkProductDescriptor: transition_checklist_setup
 === processing element WorkProductDescriptor: business_implementation_checklist_setup
 === processing element TaskDescriptor: Create The A
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_s9kpUK_REemRF4v6c146Vw
Element not handled: uma:output=_9pfgMPhjEempbtyQcmw4Ww
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: deliverables_acceptance_checklist_setup
 === processing element TaskDescriptor: Create the Transition Checklist
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_vI-qkK_JEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_TYqZwK_TEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_McfFUPhiEempbtyQcmw4Ww
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: Create The Requirements Management Plan
Element not handled: uma:additionallyPerformedBy=_9PBhUADgEeqtkpd0VPuC_g
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0ou6EemyBLjcQ79CyA
Element not handled: uma:output=_pofKELhnEemp1JY05E_Q9A
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element RoleDescriptor: project_core_team_pct
 === processing element DescriptorDescription: project_core_team_pct,_9PBhUADgEeqtkpd0VPuC_g
 === processing element TaskDescriptor: Create The Project Change Management Plan
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_TYqZwK_TEemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: Create The  Change Log
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_s51ewADkEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: change_log_setup
 === processing element TaskDescriptor: Create The Risk Management Plan
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_GqzF8ADmEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: risk_management_plan
 === processing element TaskDescriptor: Create The Risk Log
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl22xou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_ev8hAADmEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: risk_log
 === processing element TaskDescriptor: Create The Issue Management Plan
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_bqqkkAEGEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: issue_management_plan
 === processing element TaskDescriptor: Create The Issue Log
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_qPAiUAEHEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: issue_log
 === processing element TaskDescriptor: Create The Decision Log
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_oFOZEAEMEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: decision_log
 === processing element TaskDescriptor: Create The Quality Management Plan
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_s9kpUK_REemRF4v6c146Vw
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element TaskDescriptor: Create The Review Checklist
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_TNg4cAEOEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: quality_review_checklist
 === processing element TaskDescriptor: Create The Phase-exit Review Checklist
Element not handled: uma:assistedBy=_ytPGYK_HEemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_4iCpcAEPEeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: phase-exit_review_checklist
 === processing element TaskDescriptor: Create The Communications Management Plan
Element not handled: uma:additionallyPerformedBy=_Nl22wou6EemyBLjcQ79CyA
Element not handled: uma:assistedBy=_N_xMgLhlEemp1JY05E_Q9A
Element not handled: uma:mandatoryInput=_Nl3d0Iu6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_8eEA4K-_EemRF4v6c146Vw
Element not handled: uma:mandatoryInput=_Nl3d0ou6EemyBLjcQ79CyA
Element not handled: uma:mandatoryInput=_rZASgK_BEemRF4v6c146Vw
Element not handled: uma:output=_mBZt4AEREeqtkpd0VPuC_g
Element not handled: uma:performedPrimarilyBy=_Nl22wIu6EemyBLjcQ79CyA
 === processing element WorkProductDescriptor: communications_management_plan
 === processing element TaskDescriptor: Create The Deliverables Acceptance Plan
